Membership No  Date Joined  Active  
    35375      2019-12-20   no    
    37614      2016-1-23    no    
    74141      2017-4-17    no    
    53003      2015-6-7     no    
    59837      2018-12-6    no    
    22828      2018-2-25    no    
    93336      2019-2-7     no    
    94301      2015-9-5     no    
    59793      2020-10-25   no    
    33189      2018-5-3     no    
    38583      2020-9-17    no    
    37148      2016-5-13    no    
    10787      2015-6-10    no    
    27156      2019-3-25    no    
    29617      2016-8-12    no    
    89094      2020-6-20    no    
