Membership No  Date Joined  Active  
    86803      2019-2-8     no    
    58953      2015-11-12   no    
    70506      2019-12-10   no    
    72440      2017-9-4     no    
    80860      2016-2-18    no    
    96201      2019-10-2    no    
    55048      2017-1-22    no    
    75144      2016-11-4    no    
    74351      2015-6-10    no    
    10869      2018-4-3     no    
    22554      2015-2-7     no    
    88759      2015-9-12    no    
    58476      2019-4-3     no    
